time,flux,flux_err,time_bin_start,time_bin_size,centroid_col,centroid_row,cadenceno,quality
-1.7559474468725966,0.9997564800079982,5.551751398234805e-05,-1.7609474468725965,0.01,682.1221730477537,196.7028391111162,64176,21065
-1.7459474468725966,1.0000574065695451,5.980362268445711e-05,-1.7509474468725967,0.01,682.1172118461501,196.71139486416325,64452,0
-1.7359474468725966,1.0000242084147828,5.959033423405711e-05,-1.7409474468725965,0.01,682.1253318348267,196.69733442463203,63999,25269
-1.7259474468725966,0.9999635806322331,5.761760440966141e-05,-1.7309474468725967,0.01,682.1172706192772,196.71142116246196,64473,28086
-1.7159474468725966,0.9999814700390041,5.745437891536799e-05,-1.7209474468725967,0.01,682.1229097639308,196.70254770537113,64136,33398
-1.7059474468725966,0.99990784861273,5.7616651864201214e-05,-1.7109474468725967,0.01,682.1171405429143,196.71118144383578,64474,28086
-1.6959474468725966,0.9998576374299439,6.224147901551595e-05,-1.7009474468725967,0.01,682.1226336245137,196.7026806186805,64159,32778
-1.6859474468725966,1.0000329888819584,5.550942095812945e-05,-1.6909474468725967,0.01,682.1204213197196,196.70517665247047,64303,2925
-1.6759474468725966,0.9998812475174775,6.225810581003588e-05,-1.6809474468725967,0.01,682.1166568402381,196.71421419519118,64433,2048
-1.6659474468725968,0.9999278841412105,5.744441432266243e-05,-1.6709474468725967,0.01,682.1245482768247,196.69813215631606,64098,3150
-1.6559474468725965,0.9999996713534748,6.225508260885778e-05,-1.6609474468725967,0.01,682.1128390995162,196.720212668444,64706,10
-1.6459474468725968,1.0000167830146454,5.37693187120967e-05,-1.6509474468725966,0.01,682.1253971493934,196.696116364994,64000,2739
-1.6359474468725965,0.9998978285284216,6.225336873292637e-05,-1.6409474468725966,0.01,682.1128107776125,196.72038779032513,64707,32768
-1.6259474468725967,1.000052823522604,5.5522396225342705e-05,-1.6309474468725966,0.01,682.1260338971781,196.69582241706985,63961,2925
-1.6159474468725965,0.9998695334742086,5.979928799826073e-05,-1.6209474468725966,0.01,682.11344072005,196.71887252264966,64697,0
-1.6059474468725967,1.0000809377048439,5.745263172617807e-05,-1.6109474468725966,0.01,682.1246873404097,196.69912903987742,63982,3780
-1.5959474468725965,1.0000081995683796,5.978595513386735e-05,-1.6009474468725966,0.01,682.1180344332699,196.70956695660823,64513,0
-1.5859474468725967,1.0000493723193016,5.746239957459898e-05,-1.5909474468725966,0.01,682.1184921744065,196.7097935632072,64235,2520
-1.5759474468725965,0.9998564025655948,5.761097742808969e-05,-1.5809474468725966,0.01,682.1205311197891,196.7051421693146,64394,56173
-1.5659474468725967,1.0001301233055762,5.959827418124466e-05,-1.5709474468725966,0.01,682.1165234196086,196.7131672975328,64424,2730
-1.5559474468725965,0.9998820807429644,5.761845466987954e-05,-1.5609474468725966,0.01,682.1230172876292,196.70109494942196,64161,28086
-1.5459474468725967,1.0001124192572355,5.7454781236685094e-05,-1.5509474468725966,0.01,682.1156187954306,196.7147401390681,64489,23315
-1.5359474468725964,0.9999364602737274,5.980356531706644e-05,-1.5409474468725965,0.01,682.1228478210544,196.70169260862642,64144,30247
-1.5259474468725966,1.000039310344591,5.551938255289156e-05,-1.5309474468725965,0.01,682.1162314789042,196.71311800645805,64483,49152
-1.5159474468725964,0.9998071282038018,6.225058537586308e-05,-1.5209474468725965,0.01,682.1211691880922,196.7060058668673,64196,32768
-1.5059474468725966,1.000010164681166,5.3769778334356676e-05,-1.5109474468725965,0.01,682.1183146750403,196.70898158064193,64421,19660
-1.4959474468725966,0.999964073586879,6.50320664073574e-05,-1.5009474468725965,0.01,682.1219488470679,196.70497605868167,64132,0
-1.4859474468725966,0.9999555884378558,5.5508007839699265e-05,-1.4909474468725965,0.01,682.1208864337524,196.7042527683683,64313,21065
-1.4759474468725964,1.0000863031577771,6.504281936794023e-05,-1.4809474468725965,0.01,682.1159373763338,196.71568145635513,64431,35746
-1.4659474468725966,1.0000140753732443,5.5515684685660374e-05,-1.4709474468725965,0.01,682.1239070169353,196.69896627499585,64141,49152
-1.4559474468725964,1.0000718396147485,6.50099908052518e-05,-1.4609474468725965,0.01,682.1199467862208,196.70724080195657,64290,35746
-1.4459474468725966,0.9999861358574271,5.551449836374664e-05,-1.4509474468725965,0.01,682.1241379154691,196.69878542048662,64142,3510
-1.4359474468725963,0.9997944691498042,6.500811101750923e-05,-1.4409474468725965,0.01,682.1198990747473,196.70735044516977,64291,107240
-1.4259474468725966,1.000086219600574,5.5541009788555785e-05,-1.4309474468725965,0.01,682.1192596491964,196.70889427375783,64315,2340
-1.4159474468725963,0.999995181743429,6.223061541284658e-05,-1.4209474468725964,0.01,682.1203561994502,196.70538304287925,64287,682
-1.4059474468725965,0.9998984200811022,5.746791686353795e-05,-1.4109474468725964,0.01,682.116798835688,196.71357860415358,64389,2520
-1.3959474468725963,0.9999206553737463,6.222476875056769e-05,-1.4009474468725964,0.01,682.1253752294879,196.69657733524244,64087,10
-1.3859474468725965,0.9998378178665174,6.225936112358998e-05,-1.3909474468725964,0.01,682.1120639172799,196.72227405727702,64705,0
-1.3759474468725963,0.9999956010426284,5.9786668564912314e-05,-1.3809474468725964,0.01,682.1271716478524,196.69346518837614,63966,30257
-1.3659474468725965,1.0000349936841666,6.226102333673363e-05,-1.3709474468725964,0.01,682.1120413415434,196.72212892345001,64706,0
-1.3559474468725963,0.999990262150216,5.978711588241876e-05,-1.3609474468725964,0.01,682.1270144825444,196.69352455289874,63967,50412
